"Endpoint","Method","Path","Role","Username","ExpectedAllowed","ActualAllowed","HttpStatus","ResponseCode","Message"
"OBS_WORKBENCH","GET","/api/dashboard/workbench","ADMIN","admin","True","True","200","20000","success"
"OBS_WORKBENCH","GET","/api/dashboard/workbench","EXECUTIVE","executive","True","True","200","20000","success"
"OBS_WORKBENCH","GET","/api/dashboard/workbench","SECOPS","secops","True","True","200","20000","success"
"OBS_WORKBENCH","GET","/api/dashboard/workbench","DATA_ADMIN","dataadmin","True","True","200","20000","success"
"OBS_WORKBENCH","GET","/api/dashboard/workbench","AI_BUILDER","aibuilder","True","True","200","20000","success"
"OBS_WORKBENCH","GET","/api/dashboard/workbench","BUSINESS_OWNER","bizowner","True","True","200","20000","success"
"OBS_WORKBENCH","GET","/api/dashboard/workbench","EMPLOYEE","employee","True","True","200","20000","success"
"OBS_ALERT_STATS","GET","/api/alert-center/stats","ADMIN","admin","True","True","200","20000","success"
"OBS_ALERT_STATS","GET","/api/alert-center/stats","EXECUTIVE","executive","True","True","200","20000","success"
"OBS_ALERT_STATS","GET","/api/alert-center/stats","SECOPS","secops","True","True","200","20000","success"
"OBS_ALERT_STATS","GET","/api/alert-center/stats","DATA_ADMIN","dataadmin","True","True","200","20000","success"
"OBS_ALERT_STATS","GET","/api/alert-center/stats","AI_BUILDER","aibuilder","True","True","200","20000","success"
"OBS_ALERT_STATS","GET","/api/alert-center/stats","BUSINESS_OWNER","bizowner","True","True","200","20000","success"
"OBS_ALERT_STATS","GET","/api/alert-center/stats","EMPLOYEE","employee","True","True","200","20000","success"
"OBS_AI_SUMMARY","GET","/api/ai/monitor/summary","ADMIN","admin","True","True","200","20000","success"
"OBS_AI_SUMMARY","GET","/api/ai/monitor/summary","EXECUTIVE","executive","True","True","200","20000","success"
"OBS_AI_SUMMARY","GET","/api/ai/monitor/summary","SECOPS","secops","True","True","200","20000","success"
"OBS_AI_SUMMARY","GET","/api/ai/monitor/summary","DATA_ADMIN","dataadmin","True","True","200","20000","success"
"OBS_AI_SUMMARY","GET","/api/ai/monitor/summary","AI_BUILDER","aibuilder","True","True","200","20000","success"
"OBS_AI_SUMMARY","GET","/api/ai/monitor/summary","BUSINESS_OWNER","bizowner","True","True","200","20000","success"
"OBS_AI_SUMMARY","GET","/api/ai/monitor/summary","EMPLOYEE","employee","True","True","200","20000","success"
"AI_RISK_LIST","GET","/api/ai-risk/list","ADMIN","admin","True","True","200","20000","success"
"AI_RISK_LIST","GET","/api/ai-risk/list","EXECUTIVE","executive","True","True","200","20000","success"
"AI_RISK_LIST","GET","/api/ai-risk/list","SECOPS","secops","True","True","200","20000","success"
"AI_RISK_LIST","GET","/api/ai-risk/list","DATA_ADMIN","dataadmin","True","True","200","20000","success"
"AI_RISK_LIST","GET","/api/ai-risk/list","AI_BUILDER","aibuilder","True","True","200","20000","success"
"AI_RISK_LIST","GET","/api/ai-risk/list","BUSINESS_OWNER","bizowner","True","True","200","20000","success"
"AI_RISK_LIST","GET","/api/ai-risk/list","EMPLOYEE","employee","True","True","200","20000","success"
"SENSITIVE_SCAN_LIST","GET","/api/sensitive-scan/list","ADMIN","admin","True","True","200","20000","success"
"SENSITIVE_SCAN_LIST","GET","/api/sensitive-scan/list","EXECUTIVE","executive","False","False","403","40300","无权限"
"SENSITIVE_SCAN_LIST","GET","/api/sensitive-scan/list","SECOPS","secops","True","True","200","20000","success"
"SENSITIVE_SCAN_LIST","GET","/api/sensitive-scan/list","DATA_ADMIN","dataadmin","True","True","200","20000","success"
"SENSITIVE_SCAN_LIST","GET","/api/sensitive-scan/list","AI_BUILDER","aibuilder","False","False","403","40300","无权限"
"SENSITIVE_SCAN_LIST","GET","/api/sensitive-scan/list","BUSINESS_OWNER","bizowner","False","False","403","40300","无权限"
"SENSITIVE_SCAN_LIST","GET","/api/sensitive-scan/list","EMPLOYEE","employee","False","False","403","40300","无权限"
"APPROVAL_PAGE","GET","/api/approval/page?page=1&pageSize=5","ADMIN","admin","True","True","200","20000","success"
"APPROVAL_PAGE","GET","/api/approval/page?page=1&pageSize=5","EXECUTIVE","executive","False","False","403","40300","无权限"
"APPROVAL_PAGE","GET","/api/approval/page?page=1&pageSize=5","SECOPS","secops","False","False","403","40300","无权限"
"APPROVAL_PAGE","GET","/api/approval/page?page=1&pageSize=5","DATA_ADMIN","dataadmin","True","True","200","20000","success"
"APPROVAL_PAGE","GET","/api/approval/page?page=1&pageSize=5","AI_BUILDER","aibuilder","False","False","403","40300","无权限"
"APPROVAL_PAGE","GET","/api/approval/page?page=1&pageSize=5","BUSINESS_OWNER","bizowner","True","True","200","20000","success"
"APPROVAL_PAGE","GET","/api/approval/page?page=1&pageSize=5","EMPLOYEE","employee","True","True","200","20000","success"
"SUBJECT_REQUEST_LIST","GET","/api/subject-request/list","ADMIN","admin","True","True","200","20000","success"
"SUBJECT_REQUEST_LIST","GET","/api/subject-request/list","EXECUTIVE","executive","False","False","403","40300","无权限"
